,experiment,filename,id_code,plate,sirna,well
0,HEPG2-01,HEPG2-01_1_B03_s1.jpeg,HEPG2-01_1_B03,1,513.0,B03
1,HEPG2-01,HEPG2-01_1_B04_s1.jpeg,HEPG2-01_1_B04,1,840.0,B04
2,HEPG2-01,HEPG2-01_1_B05_s1.jpeg,HEPG2-01_1_B05,1,1020.0,B05
3,HEPG2-01,HEPG2-01_1_B06_s1.jpeg,HEPG2-01_1_B06,1,254.0,B06
4,HEPG2-01,HEPG2-01_1_B07_s1.jpeg,HEPG2-01_1_B07,1,144.0,B07
5,HEPG2-01,HEPG2-01_1_B08_s1.jpeg,HEPG2-01_1_B08,1,503.0,B08
6,HEPG2-01,HEPG2-01_1_B09_s1.jpeg,HEPG2-01_1_B09,1,188.0,B09
7,HEPG2-01,HEPG2-01_1_B10_s1.jpeg,HEPG2-01_1_B10,1,700.0,B10
8,HEPG2-01,HEPG2-01_1_B11_s1.jpeg,HEPG2-01_1_B11,1,1100.0,B11
9,HEPG2-01,HEPG2-01_1_B12_s1.jpeg,HEPG2-01_1_B12,1,611.0,B12
10,HEPG2-01,HEPG2-01_1_B13_s1.jpeg,HEPG2-01_1_B13,1,276.0,B13
11,HEPG2-01,HEPG2-01_1_B14_s1.jpeg,HEPG2-01_1_B14,1,397.0,B14
12,HEPG2-01,HEPG2-01_1_B15_s1.jpeg,HEPG2-01_1_B15,1,757.0,B15
13,HEPG2-01,HEPG2-01_1_B16_s1.jpeg,HEPG2-01_1_B16,1,828.0,B16
14,HEPG2-01,HEPG2-01_1_B17_s1.jpeg,HEPG2-01_1_B17,1,91.0,B17
15,HEPG2-01,HEPG2-01_1_B18_s1.jpeg,HEPG2-01_1_B18,1,567.0,B18
16,HEPG2-01,HEPG2-01_1_B19_s1.jpeg,HEPG2-01_1_B19,1,6.0,B19
17,HEPG2-01,HEPG2-01_1_B20_s1.jpeg,HEPG2-01_1_B20,1,460.0,B20
18,HEPG2-01,HEPG2-01_1_B21_s1.jpeg,HEPG2-01_1_B21,1,413.0,B21
19,HEPG2-01,HEPG2-01_1_B22_s1.jpeg,HEPG2-01_1_B22,1,555.0,B22
20,HEPG2-01,HEPG2-01_1_B23_s1.jpeg,HEPG2-01_1_B23,1,74.0,B23
21,HEPG2-01,HEPG2-01_1_C02_s1.jpeg,HEPG2-01_1_C02,1,950.0,C02
22,HEPG2-01,HEPG2-01_1_C04_s1.jpeg,HEPG2-01_1_C04,1,253.0,C04
23,HEPG2-01,HEPG2-01_1_C05_s1.jpeg,HEPG2-01_1_C05,1,272.0,C05
24,HEPG2-01,HEPG2-01_1_C06_s1.jpeg,HEPG2-01_1_C06,1,162.0,C06
25,HEPG2-01,HEPG2-01_1_C08_s1.jpeg,HEPG2-01_1_C08,1,177.0,C08
26,HEPG2-01,HEPG2-01_1_C09_s1.jpeg,HEPG2-01_1_C09,1,1023.0,C09
27,HEPG2-01,HEPG2-01_1_C10_s1.jpeg,HEPG2-01_1_C10,1,282.0,C10
28,HEPG2-01,HEPG2-01_1_C12_s1.jpeg,HEPG2-01_1_C12,1,762.0,C12
29,HEPG2-01,HEPG2-01_1_C13_s1.jpeg,HEPG2-01_1_C13,1,547.0,C13
30,HEPG2-01,HEPG2-01_1_C14_s1.jpeg,HEPG2-01_1_C14,1,750.0,C14
31,HEPG2-01,HEPG2-01_1_C16_s1.jpeg,HEPG2-01_1_C16,1,10.0,C16
32,HEPG2-01,HEPG2-01_1_C17_s1.jpeg,HEPG2-01_1_C17,1,212.0,C17
33,HEPG2-01,HEPG2-01_1_C18_s1.jpeg,HEPG2-01_1_C18,1,960.0,C18
34,HEPG2-01,HEPG2-01_1_C20_s1.jpeg,HEPG2-01_1_C20,1,870.0,C20
35,HEPG2-01,HEPG2-01_1_C21_s1.jpeg,HEPG2-01_1_C21,1,549.0,C21
36,HEPG2-01,HEPG2-01_1_C23_s1.jpeg,HEPG2-01_1_C23,1,655.0,C23
37,HEPG2-01,HEPG2-01_1_D02_s1.jpeg,HEPG2-01_1_D02,1,70.0,D02
38,HEPG2-01,HEPG2-01_1_D03_s1.jpeg,HEPG2-01_1_D03,1,350.0,D03
