,experiment,filename,id_code,plate,sirna,well
7750,HUVEC-01,HUVEC-01_1_B03_s1.jpeg,HUVEC-01_1_B03,1,607.0,B03
7751,HUVEC-01,HUVEC-01_1_B04_s1.jpeg,HUVEC-01_1_B04,1,348.0,B04
7752,HUVEC-01,HUVEC-01_1_B05_s1.jpeg,HUVEC-01_1_B05,1,939.0,B05
7753,HUVEC-01,HUVEC-01_1_B06_s1.jpeg,HUVEC-01_1_B06,1,439.0,B06
7754,HUVEC-01,HUVEC-01_1_B07_s1.jpeg,HUVEC-01_1_B07,1,508.0,B07
7755,HUVEC-01,HUVEC-01_1_B08_s1.jpeg,HUVEC-01_1_B08,1,266.0,B08
7756,HUVEC-01,HUVEC-01_1_B09_s1.jpeg,HUVEC-01_1_B09,1,673.0,B09
7757,HUVEC-01,HUVEC-01_1_B10_s1.jpeg,HUVEC-01_1_B10,1,254.0,B10
7758,HUVEC-01,HUVEC-01_1_B11_s1.jpeg,HUVEC-01_1_B11,1,705.0,B11
7759,HUVEC-01,HUVEC-01_1_B12_s1.jpeg,HUVEC-01_1_B12,1,959.0,B12
7760,HUVEC-01,HUVEC-01_1_B13_s1.jpeg,HUVEC-01_1_B13,1,399.0,B13
7761,HUVEC-01,HUVEC-01_1_B14_s1.jpeg,HUVEC-01_1_B14,1,478.0,B14
7762,HUVEC-01,HUVEC-01_1_B15_s1.jpeg,HUVEC-01_1_B15,1,576.0,B15
7763,HUVEC-01,HUVEC-01_1_B16_s1.jpeg,HUVEC-01_1_B16,1,791.0,B16
7764,HUVEC-01,HUVEC-01_1_B17_s1.jpeg,HUVEC-01_1_B17,1,172.0,B17
7765,HUVEC-01,HUVEC-01_1_B18_s1.jpeg,HUVEC-01_1_B18,1,413.0,B18
7766,HUVEC-01,HUVEC-01_1_B19_s1.jpeg,HUVEC-01_1_B19,1,239.0,B19
7767,HUVEC-01,HUVEC-01_1_B20_s1.jpeg,HUVEC-01_1_B20,1,806.0,B20
7768,HUVEC-01,HUVEC-01_1_B21_s1.jpeg,HUVEC-01_1_B21,1,481.0,B21
7769,HUVEC-01,HUVEC-01_1_B22_s1.jpeg,HUVEC-01_1_B22,1,89.0,B22
7770,HUVEC-01,HUVEC-01_1_B23_s1.jpeg,HUVEC-01_1_B23,1,238.0,B23
7771,HUVEC-01,HUVEC-01_1_C02_s1.jpeg,HUVEC-01_1_C02,1,486.0,C02
7772,HUVEC-01,HUVEC-01_1_C04_s1.jpeg,HUVEC-01_1_C04,1,147.0,C04
7773,HUVEC-01,HUVEC-01_1_C05_s1.jpeg,HUVEC-01_1_C05,1,489.0,C05
7774,HUVEC-01,HUVEC-01_1_C06_s1.jpeg,HUVEC-01_1_C06,1,1102.0,C06
7775,HUVEC-01,HUVEC-01_1_C08_s1.jpeg,HUVEC-01_1_C08,1,217.0,C08
7776,HUVEC-01,HUVEC-01_1_C09_s1.jpeg,HUVEC-01_1_C09,1,962.0,C09
7777,HUVEC-01,HUVEC-01_1_C10_s1.jpeg,HUVEC-01_1_C10,1,124.0,C10
7778,HUVEC-01,HUVEC-01_1_C12_s1.jpeg,HUVEC-01_1_C12,1,695.0,C12
7779,HUVEC-01,HUVEC-01_1_C13_s1.jpeg,HUVEC-01_1_C13,1,296.0,C13
7780,HUVEC-01,HUVEC-01_1_C14_s1.jpeg,HUVEC-01_1_C14,1,221.0,C14
7781,HUVEC-01,HUVEC-01_1_C16_s1.jpeg,HUVEC-01_1_C16,1,272.0,C16
7782,HUVEC-01,HUVEC-01_1_C17_s1.jpeg,HUVEC-01_1_C17,1,379.0,C17
7783,HUVEC-01,HUVEC-01_1_C18_s1.jpeg,HUVEC-01_1_C18,1,436.0,C18
7784,HUVEC-01,HUVEC-01_1_C20_s1.jpeg,HUVEC-01_1_C20,1,339.0,C20
7785,HUVEC-01,HUVEC-01_1_C21_s1.jpeg,HUVEC-01_1_C21,1,582.0,C21
7786,HUVEC-01,HUVEC-01_1_C23_s1.jpeg,HUVEC-01_1_C23,1,687.0,C23
7787,HUVEC-01,HUVEC-01_1_D02_s1.jpeg,HUVEC-01_1_D02,1,897.0,D02
7788,HUVEC-01,HUVEC-01_1_D03_s1.jpeg,HUVEC-01_1_D03,1,620.0,D03
7789,HUVEC-01,HUVEC-01_1_D04_s1.jpeg,HUVEC-01_1_D04,1,566.0,D04
7790,HUVEC-01,HUVEC-01_1_D05_s1.jpeg,HUVEC-01_1_D05,1,541.0,D05
7791,HUVEC-01,HUVEC-01_1_D06_s1.jpeg,HUVEC-01_1_D06,1,618.0,D06
7792,HUVEC-01,HUVEC-01_1_D07_s1.jpeg,HUVEC-01_1_D07,1,704.0,D07
7793,HUVEC-01,HUVEC-01_1_D08_s1.jpeg,HUVEC-01_1_D08,1,70.0,D08
7794,HUVEC-01,HUVEC-01_1_D09_s1.jpeg,HUVEC-01_1_D09,1,1006.0,D09
7795,HUVEC-01,HUVEC-01_1_D10_s1.jpeg,HUVEC-01_1_D10,1,982.0,D10
7796,HUVEC-01,HUVEC-01_1_D11_s1.jpeg,HUVEC-01_1_D11,1,1.0,D11
7797,HUVEC-01,HUVEC-01_1_D12_s1.jpeg,HUVEC-01_1_D12,1,613.0,D12
7798,HUVEC-01,HUVEC-01_1_D13_s1.jpeg,HUVEC-01_1_D13,1,744.0,D13
7799,HUVEC-01,HUVEC-01_1_D14_s1.jpeg,HUVEC-01_1_D14,1,26.0,D14
7800,HUVEC-01,HUVEC-01_1_D15_s1.jpeg,HUVEC-01_1_D15,1,188.0,D15
7801,HUVEC-01,HUVEC-01_1_D16_s1.jpeg,HUVEC-01_1_D16,1,136.0,D16
7802,HUVEC-01,HUVEC-01_1_D17_s1.jpeg,HUVEC-01_1_D17,1,868.0,D17
7803,HUVEC-01,HUVEC-01_1_D18_s1.jpeg,HUVEC-01_1_D18,1,395.0,D18
7804,HUVEC-01,HUVEC-01_1_D19_s1.jpeg,HUVEC-01_1_D19,1,88.0,D19
7805,HUVEC-01,HUVEC-01_1_D20_s1.jpeg,HUVEC-01_1_D20,1,3.0,D20
7806,HUVEC-01,HUVEC-01_1_D21_s1.jpeg,HUVEC-01_1_D21,1,276.0,D21
7807,HUVEC-01,HUVEC-01_1_D22_s1.jpeg,HUVEC-01_1_D22,1,715.0,D22
7808,HUVEC-01,HUVEC-01_1_D23_s1.jpeg,HUVEC-01_1_D23,1,1039.0,D23
7809,HUVEC-01,HUVEC-01_1_E02_s1.jpeg,HUVEC-01_1_E02,1,181.0,E02
7810,HUVEC-01,HUVEC-01_1_E03_s1.jpeg,HUVEC-01_1_E03,1,577.0,E03
