,experiment,filename,id_code,plate,sirna,well
25438,RPE-01,RPE-01_1_B03_s1.jpeg,RPE-01_1_B03,1,1084.0,B03
25439,RPE-01,RPE-01_1_B04_s1.jpeg,RPE-01_1_B04,1,415.0,B04
25440,RPE-01,RPE-01_1_B05_s1.jpeg,RPE-01_1_B05,1,890.0,B05
25441,RPE-01,RPE-01_1_B06_s1.jpeg,RPE-01_1_B06,1,360.0,B06
25442,RPE-01,RPE-01_1_B07_s1.jpeg,RPE-01_1_B07,1,500.0,B07
25443,RPE-01,RPE-01_1_B08_s1.jpeg,RPE-01_1_B08,1,734.0,B08
25444,RPE-01,RPE-01_1_B09_s1.jpeg,RPE-01_1_B09,1,399.0,B09
25445,RPE-01,RPE-01_1_B10_s1.jpeg,RPE-01_1_B10,1,373.0,B10
25446,RPE-01,RPE-01_1_B11_s1.jpeg,RPE-01_1_B11,1,341.0,B11
25447,RPE-01,RPE-01_1_B12_s1.jpeg,RPE-01_1_B12,1,158.0,B12
25448,RPE-01,RPE-01_1_B13_s1.jpeg,RPE-01_1_B13,1,1015.0,B13
25449,RPE-01,RPE-01_1_B14_s1.jpeg,RPE-01_1_B14,1,538.0,B14
25450,RPE-01,RPE-01_1_B15_s1.jpeg,RPE-01_1_B15,1,268.0,B15
25451,RPE-01,RPE-01_1_B16_s1.jpeg,RPE-01_1_B16,1,692.0,B16
25452,RPE-01,RPE-01_1_B17_s1.jpeg,RPE-01_1_B17,1,26.0,B17
25453,RPE-01,RPE-01_1_B18_s1.jpeg,RPE-01_1_B18,1,618.0,B18
25454,RPE-01,RPE-01_1_B19_s1.jpeg,RPE-01_1_B19,1,1031.0,B19
25455,RPE-01,RPE-01_1_B20_s1.jpeg,RPE-01_1_B20,1,760.0,B20
25456,RPE-01,RPE-01_1_B21_s1.jpeg,RPE-01_1_B21,1,254.0,B21
25457,RPE-01,RPE-01_1_B22_s1.jpeg,RPE-01_1_B22,1,598.0,B22
25458,RPE-01,RPE-01_1_B23_s1.jpeg,RPE-01_1_B23,1,576.0,B23
25459,RPE-01,RPE-01_1_C02_s1.jpeg,RPE-01_1_C02,1,188.0,C02
25460,RPE-01,RPE-01_1_C04_s1.jpeg,RPE-01_1_C04,1,113.0,C04
25461,RPE-01,RPE-01_1_C05_s1.jpeg,RPE-01_1_C05,1,762.0,C05
25462,RPE-01,RPE-01_1_C06_s1.jpeg,RPE-01_1_C06,1,287.0,C06
25463,RPE-01,RPE-01_1_C08_s1.jpeg,RPE-01_1_C08,1,489.0,C08
25464,RPE-01,RPE-01_1_C09_s1.jpeg,RPE-01_1_C09,1,508.0,C09
25465,RPE-01,RPE-01_1_C10_s1.jpeg,RPE-01_1_C10,1,883.0,C10
25466,RPE-01,RPE-01_1_C12_s1.jpeg,RPE-01_1_C12,1,102.0,C12
25467,RPE-01,RPE-01_1_C13_s1.jpeg,RPE-01_1_C13,1,700.0,C13
25468,RPE-01,RPE-01_1_C14_s1.jpeg,RPE-01_1_C14,1,798.0,C14
25469,RPE-01,RPE-01_1_C16_s1.jpeg,RPE-01_1_C16,1,825.0,C16
25470,RPE-01,RPE-01_1_C17_s1.jpeg,RPE-01_1_C17,1,1060.0,C17
25471,RPE-01,RPE-01_1_C18_s1.jpeg,RPE-01_1_C18,1,290.0,C18
25472,RPE-01,RPE-01_1_C20_s1.jpeg,RPE-01_1_C20,1,459.0,C20
25473,RPE-01,RPE-01_1_C21_s1.jpeg,RPE-01_1_C21,1,585.0,C21
25474,RPE-01,RPE-01_1_C23_s1.jpeg,RPE-01_1_C23,1,10.0,C23
25475,RPE-01,RPE-01_1_D02_s1.jpeg,RPE-01_1_D02,1,607.0,D02
25476,RPE-01,RPE-01_1_D03_s1.jpeg,RPE-01_1_D03,1,1042.0,D03
25477,RPE-01,RPE-01_1_D04_s1.jpeg,RPE-01_1_D04,1,972.0,D04
25478,RPE-01,RPE-01_1_D05_s1.jpeg,RPE-01_1_D05,1,221.0,D05
25479,RPE-01,RPE-01_1_D06_s1.jpeg,RPE-01_1_D06,1,340.0,D06
25480,RPE-01,RPE-01_1_D07_s1.jpeg,RPE-01_1_D07,1,478.0,D07
25481,RPE-01,RPE-01_1_D08_s1.jpeg,RPE-01_1_D08,1,810.0,D08
25482,RPE-01,RPE-01_1_D09_s1.jpeg,RPE-01_1_D09,1,224.0,D09
25483,RPE-01,RPE-01_1_D10_s1.jpeg,RPE-01_1_D10,1,144.0,D10
25484,RPE-01,RPE-01_1_D11_s1.jpeg,RPE-01_1_D11,1,1067.0,D11
25485,RPE-01,RPE-01_1_D12_s1.jpeg,RPE-01_1_D12,1,907.0,D12
25486,RPE-01,RPE-01_1_D13_s1.jpeg,RPE-01_1_D13,1,655.0,D13
25487,RPE-01,RPE-01_1_D14_s1.jpeg,RPE-01_1_D14,1,889.0,D14
25488,RPE-01,RPE-01_1_D15_s1.jpeg,RPE-01_1_D15,1,613.0,D15
25489,RPE-01,RPE-01_1_D16_s1.jpeg,RPE-01_1_D16,1,439.0,D16
