,experiment,filename,id_code,plate,sirna,well
33191,U2OS-01,U2OS-01_1_B03_s1.jpeg,U2OS-01_1_B03,1,267.0,B03
33192,U2OS-01,U2OS-01_1_B04_s1.jpeg,U2OS-01_1_B04,1,768.0,B04
33193,U2OS-01,U2OS-01_1_B05_s1.jpeg,U2OS-01_1_B05,1,632.0,B05
33194,U2OS-01,U2OS-01_1_B06_s1.jpeg,U2OS-01_1_B06,1,86.0,B06
33195,U2OS-01,U2OS-01_1_B07_s1.jpeg,U2OS-01_1_B07,1,1051.0,B07
33196,U2OS-01,U2OS-01_1_B08_s1.jpeg,U2OS-01_1_B08,1,29.0,B08
33197,U2OS-01,U2OS-01_1_B09_s1.jpeg,U2OS-01_1_B09,1,933.0,B09
33198,U2OS-01,U2OS-01_1_B10_s1.jpeg,U2OS-01_1_B10,1,570.0,B10
33199,U2OS-01,U2OS-01_1_B11_s1.jpeg,U2OS-01_1_B11,1,1079.0,B11
33200,U2OS-01,U2OS-01_1_B12_s1.jpeg,U2OS-01_1_B12,1,1057.0,B12
33201,U2OS-01,U2OS-01_1_B13_s1.jpeg,U2OS-01_1_B13,1,1053.0,B13
33202,U2OS-01,U2OS-01_1_B14_s1.jpeg,U2OS-01_1_B14,1,1034.0,B14
33203,U2OS-01,U2OS-01_1_B15_s1.jpeg,U2OS-01_1_B15,1,926.0,B15
33204,U2OS-01,U2OS-01_1_B16_s1.jpeg,U2OS-01_1_B16,1,895.0,B16
33205,U2OS-01,U2OS-01_1_B17_s1.jpeg,U2OS-01_1_B17,1,38.0,B17
33206,U2OS-01,U2OS-01_1_B18_s1.jpeg,U2OS-01_1_B18,1,490.0,B18
33207,U2OS-01,U2OS-01_1_B19_s1.jpeg,U2OS-01_1_B19,1,90.0,B19
33208,U2OS-01,U2OS-01_1_B20_s1.jpeg,U2OS-01_1_B20,1,291.0,B20
33209,U2OS-01,U2OS-01_1_B21_s1.jpeg,U2OS-01_1_B21,1,314.0,B21
33210,U2OS-01,U2OS-01_1_B22_s1.jpeg,U2OS-01_1_B22,1,248.0,B22
33211,U2OS-01,U2OS-01_1_B23_s1.jpeg,U2OS-01_1_B23,1,802.0,B23
33212,U2OS-01,U2OS-01_1_C02_s1.jpeg,U2OS-01_1_C02,1,901.0,C02
33213,U2OS-01,U2OS-01_1_C04_s1.jpeg,U2OS-01_1_C04,1,578.0,C04
33214,U2OS-01,U2OS-01_1_C05_s1.jpeg,U2OS-01_1_C05,1,999.0,C05
33215,U2OS-01,U2OS-01_1_C06_s1.jpeg,U2OS-01_1_C06,1,464.0,C06
33216,U2OS-01,U2OS-01_1_C08_s1.jpeg,U2OS-01_1_C08,1,1018.0,C08
33217,U2OS-01,U2OS-01_1_C09_s1.jpeg,U2OS-01_1_C09,1,937.0,C09
33218,U2OS-01,U2OS-01_1_C10_s1.jpeg,U2OS-01_1_C10,1,449.0,C10
33219,U2OS-01,U2OS-01_1_C12_s1.jpeg,U2OS-01_1_C12,1,170.0,C12
33220,U2OS-01,U2OS-01_1_C13_s1.jpeg,U2OS-01_1_C13,1,382.0,C13
33221,U2OS-01,U2OS-01_1_C14_s1.jpeg,U2OS-01_1_C14,1,477.0,C14
33222,U2OS-01,U2OS-01_1_C16_s1.jpeg,U2OS-01_1_C16,1,501.0,C16
33223,U2OS-01,U2OS-01_1_C17_s1.jpeg,U2OS-01_1_C17,1,1029.0,C17
33224,U2OS-01,U2OS-01_1_C18_s1.jpeg,U2OS-01_1_C18,1,816.0,C18
33225,U2OS-01,U2OS-01_1_C20_s1.jpeg,U2OS-01_1_C20,1,629.0,C20
33226,U2OS-01,U2OS-01_1_C21_s1.jpeg,U2OS-01_1_C21,1,410.0,C21
33227,U2OS-01,U2OS-01_1_C23_s1.jpeg,U2OS-01_1_C23,1,24.0,C23
33228,U2OS-01,U2OS-01_1_D02_s1.jpeg,U2OS-01_1_D02,1,644.0,D02
33229,U2OS-01,U2OS-01_1_D03_s1.jpeg,U2OS-01_1_D03,1,861.0,D03
33230,U2OS-01,U2OS-01_1_D04_s1.jpeg,U2OS-01_1_D04,1,362.0,D04
33231,U2OS-01,U2OS-01_1_D05_s1.jpeg,U2OS-01_1_D05,1,148.0,D05
33232,U2OS-01,U2OS-01_1_D06_s1.jpeg,U2OS-01_1_D06,1,307.0,D06
33233,U2OS-01,U2OS-01_1_D07_s1.jpeg,U2OS-01_1_D07,1,34.0,D07
