experiment,filename,id_code,plate,sirna,well
HEPG2-01,HEPG2-01_1_B03_s1.jpeg,HEPG2-01_1_B03,1,513.0,B03
HEPG2-01,HEPG2-01_1_B04_s1.jpeg,HEPG2-01_1_B04,1,840.0,B04
HEPG2-01,HEPG2-01_1_B05_s1.jpeg,HEPG2-01_1_B05,1,1020.0,B05
HEPG2-01,HEPG2-01_1_B06_s1.jpeg,HEPG2-01_1_B06,1,254.0,B06
HEPG2-01,HEPG2-01_1_B07_s1.jpeg,HEPG2-01_1_B07,1,144.0,B07
HEPG2-01,HEPG2-01_1_B08_s1.jpeg,HEPG2-01_1_B08,1,503.0,B08
HEPG2-01,HEPG2-01_1_B09_s1.jpeg,HEPG2-01_1_B09,1,188.0,B09
HEPG2-01,HEPG2-01_1_B10_s1.jpeg,HEPG2-01_1_B10,1,700.0,B10
HEPG2-01,HEPG2-01_1_B11_s1.jpeg,HEPG2-01_1_B11,1,1100.0,B11
HEPG2-01,HEPG2-01_1_B12_s1.jpeg,HEPG2-01_1_B12,1,611.0,B12
HEPG2-01,HEPG2-01_1_B13_s1.jpeg,HEPG2-01_1_B13,1,276.0,B13
HEPG2-01,HEPG2-01_1_B14_s1.jpeg,HEPG2-01_1_B14,1,397.0,B14
HEPG2-01,HEPG2-01_1_B15_s1.jpeg,HEPG2-01_1_B15,1,757.0,B15
HEPG2-01,HEPG2-01_1_B16_s1.jpeg,HEPG2-01_1_B16,1,828.0,B16
HEPG2-01,HEPG2-01_1_B17_s1.jpeg,HEPG2-01_1_B17,1,91.0,B17
HEPG2-01,HEPG2-01_1_B18_s1.jpeg,HEPG2-01_1_B18,1,567.0,B18
HEPG2-01,HEPG2-01_1_B19_s1.jpeg,HEPG2-01_1_B19,1,6.0,B19
HEPG2-01,HEPG2-01_1_B20_s1.jpeg,HEPG2-01_1_B20,1,460.0,B20
HEPG2-01,HEPG2-01_1_B21_s1.jpeg,HEPG2-01_1_B21,1,413.0,B21
HEPG2-01,HEPG2-01_1_B22_s1.jpeg,HEPG2-01_1_B22,1,555.0,B22
HEPG2-01,HEPG2-01_1_B23_s1.jpeg,HEPG2-01_1_B23,1,74.0,B23
HEPG2-01,HEPG2-01_1_C02_s1.jpeg,HEPG2-01_1_C02,1,950.0,C02
HEPG2-01,HEPG2-01_1_C04_s1.jpeg,HEPG2-01_1_C04,1,253.0,C04
HEPG2-01,HEPG2-01_1_C05_s1.jpeg,HEPG2-01_1_C05,1,272.0,C05
HEPG2-01,HEPG2-01_1_C06_s1.jpeg,HEPG2-01_1_C06,1,162.0,C06
HEPG2-01,HEPG2-01_1_C08_s1.jpeg,HEPG2-01_1_C08,1,177.0,C08
HEPG2-01,HEPG2-01_1_C09_s1.jpeg,HEPG2-01_1_C09,1,1023.0,C09
HEPG2-01,HEPG2-01_1_C10_s1.jpeg,HEPG2-01_1_C10,1,282.0,C10
HEPG2-01,HEPG2-01_1_C12_s1.jpeg,HEPG2-01_1_C12,1,762.0,C12
HEPG2-01,HEPG2-01_1_C13_s1.jpeg,HEPG2-01_1_C13,1,547.0,C13
HEPG2-01,HEPG2-01_1_C14_s1.jpeg,HEPG2-01_1_C14,1,750.0,C14
HEPG2-01,HEPG2-01_1_C16_s1.jpeg,HEPG2-01_1_C16,1,10.0,C16
HEPG2-01,HEPG2-01_1_C17_s1.jpeg,HEPG2-01_1_C17,1,212.0,C17
HEPG2-01,HEPG2-01_1_C18_s1.jpeg,HEPG2-01_1_C18,1,960.0,C18
HEPG2-01,HEPG2-01_1_C20_s1.jpeg,HEPG2-01_1_C20,1,870.0,C20
HEPG2-01,HEPG2-01_1_C21_s1.jpeg,HEPG2-01_1_C21,1,549.0,C21
HEPG2-01,HEPG2-01_1_C23_s1.jpeg,HEPG2-01_1_C23,1,655.0,C23
HEPG2-01,HEPG2-01_1_D02_s1.jpeg,HEPG2-01_1_D02,1,70.0,D02
HEPG2-01,HEPG2-01_1_D03_s1.jpeg,HEPG2-01_1_D03,1,350.0,D03
HEPG2-01,HEPG2-01_1_D04_s1.jpeg,HEPG2-01_1_D04,1,745.0,D04
HEPG2-01,HEPG2-01_1_D05_s1.jpeg,HEPG2-01_1_D05,1,1042.0,D05
HEPG2-01,HEPG2-01_1_D06_s1.jpeg,HEPG2-01_1_D06,1,436.0,D06
HEPG2-01,HEPG2-01_1_D07_s1.jpeg,HEPG2-01_1_D07,1,537.0,D07
HEPG2-01,HEPG2-01_1_D08_s1.jpeg,HEPG2-01_1_D08,1,124.0,D08
HEPG2-01,HEPG2-01_1_D09_s1.jpeg,HEPG2-01_1_D09,1,203.0,D09
HEPG2-01,HEPG2-01_1_D10_s1.jpeg,HEPG2-01_1_D10,1,708.0,D10
HEPG2-01,HEPG2-01_1_D11_s1.jpeg,HEPG2-01_1_D11,1,415.0,D11
HEPG2-01,HEPG2-01_1_D12_s1.jpeg,HEPG2-01_1_D12,1,653.0,D12
HEPG2-01,HEPG2-01_1_D13_s1.jpeg,HEPG2-01_1_D13,1,1056.0,D13
HEPG2-01,HEPG2-01_1_D14_s1.jpeg,HEPG2-01_1_D14,1,456.0,D14
HEPG2-01,HEPG2-01_1_D15_s1.jpeg,HEPG2-01_1_D15,1,217.0,D15
HEPG2-01,HEPG2-01_1_D16_s1.jpeg,HEPG2-01_1_D16,1,681.0,D16
HEPG2-01,HEPG2-01_1_D17_s1.jpeg,HEPG2-01_1_D17,1,113.0,D17
HEPG2-01,HEPG2-01_1_D18_s1.jpeg,HEPG2-01_1_D18,1,791.0,D18
HEPG2-01,HEPG2-01_1_D19_s1.jpeg,HEPG2-01_1_D19,1,538.0,D19
HEPG2-01,HEPG2-01_1_D20_s1.jpeg,HEPG2-01_1_D20,1,290.0,D20
HEPG2-01,HEPG2-01_1_D21_s1.jpeg,HEPG2-01_1_D21,1,576.0,D21
HEPG2-01,HEPG2-01_1_D22_s1.jpeg,HEPG2-01_1_D22,1,1031.0,D22
HEPG2-01,HEPG2-01_1_D23_s1.jpeg,HEPG2-01_1_D23,1,883.0,D23
HEPG2-01,HEPG2-01_1_E02_s1.jpeg,HEPG2-01_1_E02,1,400.0,E02
HEPG2-01,HEPG2-01_1_E03_s1.jpeg,HEPG2-01_1_E03,1,984.0,E03
HEPG2-01,HEPG2-01_1_E04_s1.jpeg,HEPG2-01_1_E04,1,80.0,E04
HEPG2-01,HEPG2-01_1_E05_s1.jpeg,HEPG2-01_1_E05,1,371.0,E05
HEPG2-01,HEPG2-01_1_E06_s1.jpeg,HEPG2-01_1_E06,1,987.0,E06
HEPG2-01,HEPG2-01_1_E07_s1.jpeg,HEPG2-01_1_E07,1,211.0,E07
HEPG2-01,HEPG2-01_1_E08_s1.jpeg,HEPG2-01_1_E08,1,157.0,E08
HEPG2-01,HEPG2-01_1_E09_s1.jpeg,HEPG2-01_1_E09,1,921.0,E09
HEPG2-01,HEPG2-01_1_E10_s1.jpeg,HEPG2-01_1_E10,1,478.0,E10
HEPG2-01,HEPG2-01_1_E11_s1.jpeg,HEPG2-01_1_E11,1,577.0,E11
HEPG2-01,HEPG2-01_1_E12_s1.jpeg,HEPG2-01_1_E12,1,345.0,E12
HEPG2-01,HEPG2-01_1_E13_s1.jpeg,HEPG2-01_1_E13,1,784.0,E13
HEPG2-01,HEPG2-01_1_E14_s1.jpeg,HEPG2-01_1_E14,1,894.0,E14
HEPG2-01,HEPG2-01_1_E15_s1.jpeg,HEPG2-01_1_E15,1,385.0,E15
HEPG2-01,HEPG2-01_1_E16_s1.jpeg,HEPG2-01_1_E16,1,1028.0,E16
HEPG2-01,HEPG2-01_1_E17_s1.jpeg,HEPG2-01_1_E17,1,8.0,E17
HEPG2-01,HEPG2-01_1_E18_s1.jpeg,HEPG2-01_1_E18,1,552.0,E18
HEPG2-01,HEPG2-01_1_E19_s1.jpeg,HEPG2-01_1_E19,1,695.0,E19
HEPG2-01,HEPG2-01_1_E20_s1.jpeg,HEPG2-01_1_E20,1,459.0,E20
HEPG2-01,HEPG2-01_1_E21_s1.jpeg,HEPG2-01_1_E21,1,581.0,E21
HEPG2-01,HEPG2-01_1_E22_s1.jpeg,HEPG2-01_1_E22,1,1060.0,E22
HEPG2-01,HEPG2-01_1_E23_s1.jpeg,HEPG2-01_1_E23,1,355.0,E23
HEPG2-01,HEPG2-01_1_F02_s1.jpeg,HEPG2-01_1_F02,1,900.0,F02
HEPG2-01,HEPG2-01_1_F04_s1.jpeg,HEPG2-01_1_F04,1,340.0,F04
HEPG2-01,HEPG2-01_1_F05_s1.jpeg,HEPG2-01_1_F05,1,486.0,F05
