experiment,filename,id_code,plate,sirna,well
RPE-01,RPE-01_1_B03_s1.jpeg,RPE-01_1_B03,1,1084.0,B03
RPE-01,RPE-01_1_B04_s1.jpeg,RPE-01_1_B04,1,415.0,B04
RPE-01,RPE-01_1_B05_s1.jpeg,RPE-01_1_B05,1,890.0,B05
RPE-01,RPE-01_1_B06_s1.jpeg,RPE-01_1_B06,1,360.0,B06
RPE-01,RPE-01_1_B07_s1.jpeg,RPE-01_1_B07,1,500.0,B07
RPE-01,RPE-01_1_B08_s1.jpeg,RPE-01_1_B08,1,734.0,B08
RPE-01,RPE-01_1_B09_s1.jpeg,RPE-01_1_B09,1,399.0,B09
RPE-01,RPE-01_1_B10_s1.jpeg,RPE-01_1_B10,1,373.0,B10
RPE-01,RPE-01_1_B11_s1.jpeg,RPE-01_1_B11,1,341.0,B11
RPE-01,RPE-01_1_B12_s1.jpeg,RPE-01_1_B12,1,158.0,B12
RPE-01,RPE-01_1_B13_s1.jpeg,RPE-01_1_B13,1,1015.0,B13
RPE-01,RPE-01_1_B14_s1.jpeg,RPE-01_1_B14,1,538.0,B14
RPE-01,RPE-01_1_B15_s1.jpeg,RPE-01_1_B15,1,268.0,B15
RPE-01,RPE-01_1_B16_s1.jpeg,RPE-01_1_B16,1,692.0,B16
RPE-01,RPE-01_1_B17_s1.jpeg,RPE-01_1_B17,1,26.0,B17
RPE-01,RPE-01_1_B18_s1.jpeg,RPE-01_1_B18,1,618.0,B18
RPE-01,RPE-01_1_B19_s1.jpeg,RPE-01_1_B19,1,1031.0,B19
RPE-01,RPE-01_1_B20_s1.jpeg,RPE-01_1_B20,1,760.0,B20
RPE-01,RPE-01_1_B21_s1.jpeg,RPE-01_1_B21,1,254.0,B21
RPE-01,RPE-01_1_B22_s1.jpeg,RPE-01_1_B22,1,598.0,B22
RPE-01,RPE-01_1_B23_s1.jpeg,RPE-01_1_B23,1,576.0,B23
RPE-01,RPE-01_1_C02_s1.jpeg,RPE-01_1_C02,1,188.0,C02
RPE-01,RPE-01_1_C04_s1.jpeg,RPE-01_1_C04,1,113.0,C04
RPE-01,RPE-01_1_C05_s1.jpeg,RPE-01_1_C05,1,762.0,C05
RPE-01,RPE-01_1_C06_s1.jpeg,RPE-01_1_C06,1,287.0,C06
RPE-01,RPE-01_1_C08_s1.jpeg,RPE-01_1_C08,1,489.0,C08
RPE-01,RPE-01_1_C09_s1.jpeg,RPE-01_1_C09,1,508.0,C09
RPE-01,RPE-01_1_C10_s1.jpeg,RPE-01_1_C10,1,883.0,C10
RPE-01,RPE-01_1_C12_s1.jpeg,RPE-01_1_C12,1,102.0,C12
RPE-01,RPE-01_1_C13_s1.jpeg,RPE-01_1_C13,1,700.0,C13
RPE-01,RPE-01_1_C14_s1.jpeg,RPE-01_1_C14,1,798.0,C14
RPE-01,RPE-01_1_C16_s1.jpeg,RPE-01_1_C16,1,825.0,C16
RPE-01,RPE-01_1_C17_s1.jpeg,RPE-01_1_C17,1,1060.0,C17
RPE-01,RPE-01_1_C18_s1.jpeg,RPE-01_1_C18,1,290.0,C18
RPE-01,RPE-01_1_C20_s1.jpeg,RPE-01_1_C20,1,459.0,C20
RPE-01,RPE-01_1_C21_s1.jpeg,RPE-01_1_C21,1,585.0,C21
RPE-01,RPE-01_1_C23_s1.jpeg,RPE-01_1_C23,1,10.0,C23
RPE-01,RPE-01_1_D02_s1.jpeg,RPE-01_1_D02,1,607.0,D02
RPE-01,RPE-01_1_D03_s1.jpeg,RPE-01_1_D03,1,1042.0,D03
RPE-01,RPE-01_1_D04_s1.jpeg,RPE-01_1_D04,1,972.0,D04
RPE-01,RPE-01_1_D05_s1.jpeg,RPE-01_1_D05,1,221.0,D05
RPE-01,RPE-01_1_D06_s1.jpeg,RPE-01_1_D06,1,340.0,D06
RPE-01,RPE-01_1_D07_s1.jpeg,RPE-01_1_D07,1,478.0,D07
RPE-01,RPE-01_1_D08_s1.jpeg,RPE-01_1_D08,1,810.0,D08
RPE-01,RPE-01_1_D09_s1.jpeg,RPE-01_1_D09,1,224.0,D09
RPE-01,RPE-01_1_D10_s1.jpeg,RPE-01_1_D10,1,144.0,D10
RPE-01,RPE-01_1_D11_s1.jpeg,RPE-01_1_D11,1,1067.0,D11
RPE-01,RPE-01_1_D12_s1.jpeg,RPE-01_1_D12,1,907.0,D12
RPE-01,RPE-01_1_D13_s1.jpeg,RPE-01_1_D13,1,655.0,D13
RPE-01,RPE-01_1_D14_s1.jpeg,RPE-01_1_D14,1,889.0,D14
RPE-01,RPE-01_1_D15_s1.jpeg,RPE-01_1_D15,1,613.0,D15
RPE-01,RPE-01_1_D16_s1.jpeg,RPE-01_1_D16,1,439.0,D16
RPE-01,RPE-01_1_D17_s1.jpeg,RPE-01_1_D17,1,91.0,D17
RPE-01,RPE-01_1_D18_s1.jpeg,RPE-01_1_D18,1,239.0,D18
RPE-01,RPE-01_1_D19_s1.jpeg,RPE-01_1_D19,1,70.0,D19
RPE-01,RPE-01_1_D20_s1.jpeg,RPE-01_1_D20,1,605.0,D20
